Claim Number,date_of_loss,Notifier,Loss_code,Loss_description,Notification_period,Inception_to_loss,Location_of_incident,Weather_conditions,Vehicle_mobile,Time_hour,Main_driver,PH_considered_TP_at_fault,Vechile_registration_present,Incident_details_present,Injury_details_present,TP_type_insd_pass_back,TP_type_insd_pass_front,TP_type_driver,TP_type_pass_back,TP_type_pass_front,TP_type_bike,TP_type_cyclist,TP_type_pass_multi,TP_type_pedestrian,TP_type_other,TP_type_nk,TP_injury_whiplash,TP_injury_traumatic,TP_injury_fatality,TP_injury_unclear,TP_injury_nk,TP_region_eastang,TP_region_eastmid,TP_region_london,TP_region_north,TP_region_northw,TP_region_outerldn,TP_region_scotland,TP_region_southe,TP_region_southw,TP_region_wales,TP_region_westmid,TP_region_yorkshire,Incurred,Capped Incurred
1826,2008-10-20,TP,LD003,Head on collision,24,156,Not Applicable,N/K,n/k,19,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6926,2015-01-24,Other,LD003,Head on collision,0,232,Minor Road,NORMAL,Y,15,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,122.4157696,122.4157696
1095,2007-03-13,PH,LD003,Head on collision,1,78,Minor Road,NORMAL,N,21,Other,n/k,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,10612.1643024,10612.1643024
7593,2015-06-12,Other,LD003,Head on collision,19,46,Main Road,NORMAL,n/k,0,Other,N,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,24186.4382256,24186.4382256
4891,2013-09-03,NamedDriver,LD003,Head on collision,0,13,Car Park,NORMAL,Y,15,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6620.9389360000005,6620.9389360000005
5813,2014-05-28,Other,LD003,Head on collision,1,187,Minor Road,WET,N,15,Y,N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4273.5118256000005,4273.5118256000005
4673,2013-06-18,PH,LD003,Head on collision,0,45,Main Road,NORMAL,Y,12,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5229,2013-12-13,PH,LD003,Head on collision,3,55,Minor Road,NORMAL,Y,21,Y,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2084.2826608,2084.2826608
2648,2010-08-31,PH,LD003,Head on collision,0,311,Main Road,NORMAL,N,6,Other,n/k,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,46329.510563200005,46329.510563200005
1655,2008-05-04,PH,LD003,Head on collision,46,310,Minor Road,NORMAL,Y,7,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1387.7811504000001,1387.7811504000001
6738,2014-12-13,Other,LD003,Head on collision,2,143,Main Road,WET,Y,18,Y,N,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,57.94967040000001,57.94967040000001
7044,2015-02-12,Other,LD003,Head on collision,0,139,Minor Road,NORMAL,Y,11,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,52.5968896,52.5968896
2324,2009-12-31,PH,LD003,Head on collision,2,214,Main Road,NORMAL,N,12,Y,n/k,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,28237.126004800004,28237.126004800004
2414,2010-03-08,PH,LD003,Head on collision,0,131,Minor Road,NORMAL,N,7,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1668.2494096000003,1668.2494096000003
5892,2014-06-16,Other,LD003,Head on collision,0,34,Minor Road,NORMAL,Y,10,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2800,2010-12-05,PH,LD003,Head on collision,0,34,Main Road,"SNOW,ICE,FOG",Y,11,Y,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4299.0684448,4299.0684448
4412,2013-03-02,PH,LD003,Head on collision,2,278,Main Road,NORMAL,N,16,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,495.3213168,495.3213168
6152,2014-08-15,Other,LD003,Head on collision,68,294,Minor Road,NORMAL,Y,0,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8546.0927328,8546.0927328
3186,2011-07-18,PH,LD003,Head on collision,1,340,Minor Road,WET,Y,17,Y,N,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4802,2013-08-02,PH,LD003,Head on collision,0,344,Minor Road,NORMAL,N,8,Y,N,1,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,52233.11868960001,50000.0
3686,2012-04-30,PH,LD003,Head on collision,0,227,Minor Road,WET,N,8,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,622.8135008,622.8135008
179,2004-04-11,CNF,LD003,Head on collision,3,320,Home Address,NORMAL,N,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3729.6518416000004,3729.6518416000004
3650,2012-04-13,PH,LD003,Head on collision,1,28,Minor Road,NORMAL,N,17,Y,N,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,82080.16624800001,50000.0
6095,2014-08-01,Other,LD003,Head on collision,3,300,Minor Road,WET,Y,17,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,680.5013504,680.5013504
3909,2012-08-08,PH,LD003,Head on collision,0,181,Minor Road,WET,Y,17,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,295.53750080000003,295.53750080000003
1205,2007-06-02,PH,LD003,Head on collision,2,20,Minor Road,NORMAL,N,11,Other,n/k,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20760.3239648,20760.3239648
2203,2009-10-23,PH,LD003,Head on collision,0,95,Main Road,NORMAL,Y,14,N,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,825.4337088000001,825.4337088000001
5286,2013-12-29,PH,LD003,Head on collision,1,185,Minor Road,WET,Y,12,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3923,2012-08-15,PH,LD003,Head on collision,1,91,Main Road,NORMAL,Y,17,Y,N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5931,2014-06-26,Other,LD003,Head on collision,0,80,Minor Road,NORMAL,N,10,N,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10363.5363616,10363.5363616
2816,2010-12-11,PH,LD003,Head on collision,1,334,Main Road,NORMAL,N,20,Y,n/k,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15985.5853088,15985.5853088
7648,2015-06-22,Other,LD003,Head on collision,9,170,Main Road,N/K,Y,16,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,98.1828,98.1828
6833,2014-12-31,Other,LD003,Head on collision,0,362,Minor Road,"SNOW,ICE,FOG",N,8,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15524.7516096,15524.7516096
1771,2008-09-01,Other,LD003,Head on collision,2,201,Minor Road,N/K,N,22,Other,n/k,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,37594.906854400004,37594.906854400004
830,2006-08-13,Other,LD003,Head on collision,1,174,Main Road,NORMAL,N,18,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,84.36448,84.36448
942,2006-11-21,PH,LD003,Head on collision,10,112,Minor Road,NORMAL,Y,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
6352,2014-10-04,Other,LD003,Head on collision,1,117,Minor Road,NORMAL,Y,14,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2487,2010-05-11,PH,LD003,Head on collision,1,35,Main Road,WET,N,17,Y,N,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,8140.750497600001,8140.750497600001
628,2005-12-19,Other,LD003,Head on collision,1,218,Main Road,NORMAL,N,13,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,87.30269120000001,87.30269120000001
7413,2015-05-05,Other,LD003,Head on collision,1,4,Main Road,NORMAL,Y,18,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,359.9745088,359.9745088
4523,2013-04-16,PH,LD003,Head on collision,0,99,Main Road,NORMAL,N,13,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2613.2188592,2613.2188592
926,2006-11-11,PH,LD003,Head on collision,16,37,Main Road,WET,N,15,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,84.1608416,84.1608416
296,2004-09-11,CNF,LD003,Head on collision,5,89,Minor Road,NORMAL,N,17,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12284.2101136,12284.2101136
1053,2007-02-11,Other,LD003,Head on collision,10,212,Minor Road,WET,Y,11,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1169.8735168,1169.8735168
7312,2015-04-14,Other,LD003,Head on collision,1,99,Main Road,NORMAL,N,17,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6575.5712096,6575.5712096
7280,2015-04-07,Other,LD003,Head on collision,1,234,Minor Road,NORMAL,Y,19,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,380.3528944,380.3528944
7581,2015-06-11,Other,LD003,Head on collision,0,314,Minor Road,,N,13,N,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18617.2479888,18617.2479888
945,2006-11-25,CNF,LD003,Head on collision,2,39,Main Road,WET,N,12,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5262.3508048,5262.3508048
6521,2014-11-03,Other,LD003,Head on collision,0,276,Minor Road,WET,N,8,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,6150.170592,6150.170592
6383,2014-10-08,Other,LD003,Head on collision,1,122,Main Road,WET,Y,17,N,N,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18488.1557888,18488.1557888
13,2003-08-13,Other,LD003,Head on collision,0,46,Main Road,NORMAL,Y,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3522.3043136,3522.3043136
1118,2007-03-26,Other,LD003,Head on collision,1,322,Minor Road,NORMAL,N,7,Other,n/k,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14537.2217344,14537.2217344
5599,2014-04-04,NamedDriver,LD003,Head on collision,0,209,Minor Road,NORMAL,Y,16,N,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,360.9054272,360.9054272
3249,2011-08-30,Other,LD003,Head on collision,0,82,Minor Road,NORMAL,Y,13,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5323,2014-01-12,PH,LD003,Head on collision,1,160,Minor Road,"SNOW,ICE,FOG",Y,18,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,490.477632,490.477632
4300,2013-01-15,PH,LD003,Head on collision,1,171,Main Road,NORMAL,Y,18,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1081.4944512,1081.4944512
1320,2007-08-16,PH,LD003,Head on collision,1,280,Minor Road,NORMAL,N,19,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
780,2006-06-22,Other,LD003,Head on collision,12,86,Minor Road,NORMAL,Y,15,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,777.9714160000001,777.9714160000001
7513,2015-05-27,Other,LD003,Head on collision,1,300,Main Road,,Y,22,Other,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7033,2015-02-10,Other,LD003,Head on collision,0,204,Main Road,NORMAL,Y,8,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,78.5171488,78.5171488
3329,2011-10-29,PH,LD003,Head on collision,2,50,Minor Road,NORMAL,n/k,16,Other,N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5431.2834032,5431.2834032
3461,2012-01-07,PH,LD003,Head on collision,2,64,Main Road,NORMAL,N,16,Other,N,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
3784,2012-06-13,Other,LD003,Head on collision,126,71,n/k,N/K,n/k,16,Other,N,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,11010.233737600001,11010.233737600001
654,2006-01-25,Other,LD003,Head on collision,1,113,Main Road,WET,N,17,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,86.66268480000001,86.66268480000001
2478,2010-05-01,PH,LD003,Head on collision,31,45,Main Road,WET,N,13,Y,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7195,2015-03-16,Other,LD003,Head on collision,1,90,Main Road,WET,N,17,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6356.6017472,6356.6017472
6585,2014-11-15,Other,LD003,Head on collision,2,66,Home Address,NORMAL,Y,12,N,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2278.8736976,2278.8736976
4435,2013-03-13,PH,LD003,Head on collision,0,52,Main Road,NORMAL,Y,17,Y,N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2819,2010-12-12,CNF,LD003,Head on collision,9,32,n/k,N/K,n/k,0,Other,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,570.0275184,570.0275184
7497,2015-05-23,Other,LD003,Head on collision,1,229,Main Road,,N,16,Other,N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16939.07848,16939.07848
3354,2011-11-12,PH,LD003,Head on collision,2,244,Minor Road,WET,N,11,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7467.1001248,7467.1001248
6207,2014-08-28,Other,LD003,Head on collision,28,319,Minor Road,N/K,n/k,7,Y,N,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2251.8188816,2251.8188816
7307,2015-04-14,Other,LD003,Head on collision,1,239,Minor Road,,Y,11,Y,N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1146.047824,1146.047824
5602,2014-04-05,PH,LD003,Head on collision,2,58,Main Road,WET,Y,22,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,313.76313760000005,313.76313760000005
2743,2010-11-07,PH,LD003,Head on collision,3,106,Main Road,NORMAL,N,10,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2754,2010-11-13,PH,LD003,Head on collision,18,217,Main Road,NORMAL,Y,9,Y,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.618248,6.618248
5339,2014-01-16,PH,LD003,Head on collision,7,233,Minor Road,NORMAL,Y,17,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
571,2005-10-06,Other,LD003,Head on collision,0,177,Minor Road,NORMAL,N,11,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4679.4940672,4679.4940672
1449,2007-11-21,Other,LD003,Head on collision,0,38,Minor Road,WET,N,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2204.9093216,2204.9093216
3906,2012-08-07,PH,LD003,Head on collision,1,146,Minor Road,WET,Y,18,Y,N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,873.4050976000001,873.4050976000001
7504,2015-05-25,Other,LD003,Head on collision,1,98,Main Road,N/K,Y,18,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,626.5953568,626.5953568
7368,2015-04-27,Other,LD003,Head on collision,0,186,Minor Road,NORMAL,Y,12,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,249.0934,249.0934
5680,2014-05-01,PH,LD003,Head on collision,0,149,Minor Road,WET,N,16,N,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,97.63006720000001,97.63006720000001
1746,2008-08-09,PH,LD003,Head on collision,32,210,Minor Road,WET,N,8,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,712.588944,712.588944
1591,2008-03-07,PH,LD003,Head on collision,0,28,Main Road,NORMAL,Y,12,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11680.000435200001,11680.000435200001
3772,2012-06-09,PH,LD003,Head on collision,0,269,Minor Road,WET,Y,9,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1050.046864,1050.046864
288,2004-09-06,CNF,LD003,Head on collision,1,158,Other,NORMAL,N,15,Other,n/k,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6,0,0,0,0,0,0,0,221345.99525600002,50000.0
1739,2008-08-02,PH,LD003,Head on collision,0,59,Minor Road,NORMAL,N,10,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
5235,2013-12-15,PH,LD003,Head on collision,1,98,Main Road,WET,N,15,Y,N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,221.57312480000002,221.57312480000002
6793,2014-12-21,Other,LD003,Head on collision,23,232,Other,,n/k,0,Other,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,277.2973184,277.2973184
4336,2013-01-25,PH,LD003,Head on collision,0,128,Home Address,"SNOW,ICE,FOG",N,13,Y,N,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,8588.7113408,8588.7113408
4763,2013-07-19,PH,LD003,Head on collision,0,14,Minor Road,NORMAL,N,18,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5084.4581168,5084.4581168
5776,2014-05-20,Other,LD003,Head on collision,0,281,Minor Road,NORMAL,Y,10,N,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1361.3808864000002,1361.3808864000002
4047,2012-10-06,PH,LD003,Head on collision,1,330,Main Road,NORMAL,Y,17,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5769,2014-05-19,Other,LD003,Head on collision,1,148,Main Road,NORMAL,N,19,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,321.4141232,321.4141232
1685,2008-06-03,PH,LD003,Head on collision,0,87,Minor Road,WET,N,6,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5009,2013-10-13,PH,LD003,Head on collision,0,100,Minor Road,NORMAL,N,3,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,586.6967760000001,586.6967760000001
1339,2007-08-27,Other,LD003,Head on collision,1,87,Main Road,NORMAL,N,9,Other,n/k,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1998.6236224000002,1998.6236224000002
3781,2012-06-13,PH,LD003,Head on collision,0,279,Car Park,NORMAL,Y,10,N,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5732.7555088,5732.7555088
7407,2015-05-05,Other,LD003,Head on collision,1,277,Main Road,WET,Y,18,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,245.4279088,245.4279088
6310,2014-09-21,Other,LD003,Head on collision,2,298,Main Road,NORMAL,Y,16,N,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3559,2012-02-22,PH,LD003,Head on collision,1,266,Minor Road,WET,Y,13,Y,Y,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,792.807928,792.807928
4297,2013-01-14,PH,LD003,Head on collision,2,196,Main Road,NORMAL,N,23,Y,N,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
2259,2009-11-26,PH,LD003,Head on collision,0,168,Minor Road,WET,Y,7,N,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3802.8598464,3802.8598464
5799,2014-05-25,Other,LD003,Head on collision,3,192,Main Road,WET,Y,10,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6303,2014-09-20,Other,LD003,Head on collision,5,340,Minor Road,NORMAL,Y,16,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5665,2014-04-27,PH,LD003,Head on collision,0,61,Main Road,NORMAL,Y,10,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3207,2011-08-05,PH,LD003,Head on collision,3,4,Minor Road,NORMAL,N,22,Y,N,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,256387.34930240002,50000.0
4232,2012-12-10,PH,LD003,Head on collision,1,181,Main Road,NORMAL,N,20,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3187.9300608,3187.9300608
1565,2008-02-17,PH,LD003,Head on collision,3,241,Minor Road,NORMAL,Y,14,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2061.9988015999998,2061.9988015999998
5872,2014-06-10,Other,LD003,Head on collision,0,120,Main Road,NORMAL,N,7,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16700.559731200003,16700.559731200003
